order_item_id,order_id,product_id,quantity,unit_price
1,19,24,2,239.32
2,28,5,2,1972.33
3,11,22,2,46.18
4,20,3,5,1168.22
5,4,2,3,498.47
6,2,7,5,1187.14
7,4,5,5,1154.76
8,4,15,2,58.21
9,4,18,5,1470.93
10,23,18,5,369.92
11,20,8,4,1965.7
12,8,26,4,1750.97
13,1,17,2,1555.25
14,14,23,2,1794.96
15,7,27,5,271.44
16,12,22,4,148.23
17,24,8,4,1351.19
18,19,20,3,1143.85
19,9,9,1,115.08
20,28,7,5,320.14
21,28,3,4,1453.3
22,9,5,3,1068.34
23,16,23,1,1265.2
24,15,9,5,13.83
25,25,17,1,983.27
26,3,14,3,67.5
27,1,18,4,1464.07
28,11,12,2,1947.91
29,4,2,4,695.27
30,29,24,3,1587.48
